Index;Product Name;Colors;Pic Urls;Care Instructions
49;Zipneck sweater in organic cotton with contrast detailing;Light Grey  Light Blue  Dark Blue  Brown  Black;https://images.hugoboss.com/is/image/boss/hbeu50440329_059_100?wid=462&qlt=80  ;30 mild fine wash  Do Not Bleach  Do Not Tumble Dry  Iron Low Heat  Gentle chemical dry cleaning P
50;Regularfit sweater in pure cashmere;Light Grey  Dark Red  Dark Blue  Light Beige  Black;https://images.hugoboss.com/is/image/boss/hbeu50442201_078_100?wid=462&qlt=80  ;careinstructioncode.S30R  Do Not Bleach  Do Not Tumble Dry  Iron Medium Heat  Chemical dry cleaning P
51;Knitted sweater in a cotton blend with checked panels;Grey;https://images.hugoboss.com/is/image/boss/hbeu50434317_039_100?wid=462&qlt=80  ;careinstructioncode.S30R  Do Not Bleach  Do Not Tumble Dry  Iron Low Heat  Gentle chemical dry cleaning P
52;Regularfit coat in waterrepellent recycled fabric;Dark Blue;https://images.hugoboss.com/is/image/boss/hbeu50454042_405_100?wid=462&qlt=80  ;Do Not Wash  Do Not Bleach  Do Not Tumble Dry  Iron Low Heat  Do not chemical dry clean  Very mild professional wet clean
53;Hooded gilet with quiltednylon front panel;Black;https://images.hugoboss.com/is/image/boss/hbeu50451830_001_100?wid=462&qlt=80  ;Do Not Wash  Do Not Bleach  Do Not Tumble Dry  Iron Low Heat  Chemical dry cleaning P
54;Vneck cardigan in extrafine Italian merino wool;Light Brown  Dark Blue  Grey  Black;https://images.hugoboss.com/is/image/boss/hbeu50392802_245_100?wid=462&qlt=80  ;careinstructioncode.S30R  Do Not Bleach  Do Not Tumble Dry  Iron Medium Heat  Chemical dry cleaning P
55;Regularfit sweater with rubberised logo badge;Black;https://images.hugoboss.com/is/image/boss/hbeu50434330_001_100?wid=462&qlt=80  ;careinstructioncode.S30R  Do Not Bleach  Do Not Tumble Dry  Iron Low Heat  Gentle chemical dry cleaning P
56;Relaxedfit bomber jacket with statement artwork;Black;https://images.hugoboss.com/is/image/boss/hbeu50446306_001_100?wid=462&qlt=80  ;Do Not Wash  Do Not Bleach  Do Not Tumble Dry  Iron Low Heat  Do not chemical dry clean  Mild professional wet clean
57;Turtleneck sweater in ribbed moulin fabric with camouflage patches;Light Green;https://images.hugoboss.com/is/image/boss/hbeu50434342_346_100?wid=462&qlt=80  ;careinstructioncode.S30R  Do Not Bleach  Do Not Tumble Dry  Iron Low Heat  Gentle chemical dry cleaning P
58;Zipneck sweater in organic cotton with contrast detailing;Brown  Light Blue  Dark Blue  Light Grey  Black;https://images.hugoboss.com/is/image/boss/hbeu50440329_212_100?wid=462&qlt=80  ;30 mild fine wash  Do Not Bleach  Do Not Tumble Dry  Iron Low Heat  Gentle chemical dry cleaning P
59;Regularfit sweater in a cottonkapok blend;Grey  Red  Dark Blue  Dark Grey;https://images.hugoboss.com/is/image/boss/hbeu50434305_039_100?wid=462&qlt=80  ;30 mild fine wash  Do Not Bleach  Do Not Tumble Dry  Iron Low Heat  Chemical dry cleaning P
